Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
Сборщица/сборщик вязаных изделий (кеттельщица/кеттельщик),Айсберг,от 50000 руб.,https://hh.ru/vacancy/116696725,Владимир,06.02.2025,Данные отсутствуют,Город Владимир,Другое
Бариста,Новиков Евгений Андреевич,от 45000 руб.,https://hh.ru/vacancy/115735582,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
Начальник информационно-аналитического отдела,Территориальный фонд обязательного медицинского страхования Владимирской области,63000-90000 руб.,https://hh.ru/vacancy/114618609,Владимир,22.01.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по аренде коммерческой недвижимости,LANTA Talent Solutions,от 90000 руб.,https://hh.ru/vacancy/116626871,Владимир,31.01.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Менеджер по продажам,Трэйд,от 70000 руб.,https://hh.ru/vacancy/115960948,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Водитель-экспедитор,Медика-Сервис,от 50000 руб.,https://hh.ru/vacancy/116236639,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Менеджер оптовых продаж (B2B),ФМ,60000-130000 руб.,https://hh.ru/vacancy/115662565,Владимир,16.01.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Специалист по информационной безопасности,Техцентр Гранд,50000-50000 руб.,https://hh.ru/vacancy/116576011,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Водитель автогудронатора,ВладСК,от 90000 руб.,https://hh.ru/vacancy/116685314,Владимир,03.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Танцовщица/танцовщик в ночной караоке-клуб,Чайзер,70000-180000 руб.,https://hh.ru/vacancy/116393989,Владимир,27.01.2025,Данные отсутствуют,Город Владимир,Другое
Специалист отдела кадров,КДВ Групп,92000-92000 руб.,https://hh.ru/vacancy/116490282,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Операционный директор (транспортная компания),РЕФСЕРВИСЦЕНТР,от 250000 руб.,https://hh.ru/vacancy/114037816,Владимир,30.01.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Комплектовщик интернет заказов (улица Горького д.48),"ЗооОптТорг.рф, сеть зоомагазинов",от 45000 руб.,https://hh.ru/vacancy/116895446,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
